Reaction #,E.C. #,Gene ID ,Gene Description,equation,Pathway,References,,,,
rxn589,3.4.11.2,geneCsal2521,alanyl aminopeptidase (cys-gly), cgly + h2o -> cysL + gly,Glutathione metabolism,"51, 50, 33, 34",,,,
rxn590,3.4.11.2,geneCsal2521,aminopeptidase (pro-gly), h2o + progly -> gly + proL,Glutathione metabolism,"51, 50, 33, 34",,,,
rxn591,3.4.13.3,geneCsal2957,Nalpha-(beta-alanyl)-L-histidine hydrolase, carn + h2o <-> alaB + hisL,beta-Alanine metabolism,"51, 50, 46",,,,
rxn592,3.4.16.4,geneCsal1549,"murein D,D-carboxypeptidase (murein5px4p) ", h2o + murein5px4p -> alaD + murein4px4p,Peptidoglycan biosynthesis,"51, 50, 33, 34",,,,
rxn593,3.4.16.4,geneCsal1549,"murein D,D-carboxypeptidase (murein5px4px4p) ", h2o + murein5px4px4p -> alaD + murein4px4px4p,Peptidoglycan biosynthesis,"51, 50, 33, 34",,,,
rxn594,3.4.16.4,geneCsal1549,"murein D,D-carboxypeptidase (murein5p5p) ", h2o + murein5p5p -> alaD + murein5p4p,Peptidoglycan biosynthesis,"51, 50, 33, 34",,,,
rxn595,3.4.16.4,geneCsal1549,"murein D,D-carboxypeptidase (murein5p4p) ", h2o + murein5p4p -> alaD + murein4p4p,Peptidoglycan biosynthesis,"51, 50, 33, 34",,,,
rxn596,3.4.16.4,geneCsal1549,"murein D,D-carboxypeptidase (murein5p3p) ", h2o + murein5p3p -> alaD + murein4p3p,Peptidoglycan biosynthesis,"51, 50, 33, 34",,,,
rxn597,3.5.1.1,geneCsal2037,L-asparaginase, asnL + h2o -> aspL + nh4,Alanine and aspartate metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn598,3.5.1.10,geneCsal1002,formyltetrahydrofolate deformylase, 10fthf + h2o -> for + h + thf,Glyoxylate and dicarboxylate metabolism,"51, 50, 33, 34, 37",,,,
rxn599,3.5.1.15,geneCsal2780,Aspartoacylase,acasp + h2o <-> cx + aspL,Alanine and aspartate metabolism,"52 , 54, 53",,,,
rxn600,3.5.1.16,geneCsal1147,acetylornithine deacetylase, acorn + h2o -> ac + orn,Urea cycle and metabolism of amino groups,"51, 50, 33, 34",,,,
rxn601,3.5.1.18,geneCsal0557,succinyl-diaminopimelate desuccinylase, h2o + sl26da -> 26dapLL + succ,Lysine biosynthesis,"51, 50, 33, 34, 39, 37",,,,
rxn602,3.5.1.19,geneCsal2870,nicotinamidase, h2o + ncam -> nac + nh4,Nicotinate and nicotinamide metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn603,3.5.1.19,geneCsal2870,"nicotinamidase, reversible", h2o + ncam <-> nac + nh4,Nicotinate and nicotinamide metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn604,3.5.1.28,geneCsal1274,N-acetylmuramoyl-L-alanine amidase, acmama + h2o -> acmam + alaL,Peptidoglycan biosynthesis,"51, 50, 39, 37",,,,
rxn605,3.5.1.32,geneCsal1708,N-Benzoylglycine amidohydrolase, bgly + h2o <-> bz + gly,Phenylalanine metabolism,"51, 50, 39",,,,
rxn606,3.5.1.4,geneCsal0152,amidase, 4gudbd + h2o -> 4gudbutn + nh4,Arginine and proline metabolism,"51, 50, 33, 28, 37",,,,
rxn607,3.5.1.4,geneCsal0152,amidase, h2o + pad -> nh4 + pac,Arginine and proline metabolism,"51, 50, 33, 28, 37",,,,
rxn608,3.5.1.4,geneCsal0152,amidase, h2o + iad -> ind3ac + nh4,Arginine and proline metabolism,"51, 50, 33, 28, 37",,,,
rxn609,3.5.1.49,geneCsal0213,formamidase, frmd + h2o -> for + nh4,Urea cycle and metabolism of amino groups,"51, 50, 37",,,,
rxn610,3.5.1.5,geneCsal2305,urease, (2) h + h2o + urea -> co2 + (2) nh4,Urea cycle and metabolism of amino groups,"51, 50, 39, 37",,,,
rxn611,3.5.1.81,geneCsal0091,N-acyl-D-amino-acid deacylase,NaDaacd + h2o <-> acd + aacdD,,"52 , 54, 53",,,,
rxn612,3.5.1.87,geneCsal0031,N-carbamoyl-L-amino-acid hydrolase,urdc + h2o <-> 2aacdL + nh3 + co2,,"52 , 54, 53",,,,
rxn613,3.5.1.88,geneCsal2867,Peptide deformylase,fmetpep + h2o <-> for + metpep,,"52 , 54, 53",,,,
rxn614,3.5.2.3,geneCsal3231,dihydroorotase, dhorS + h2o <-> cbasp + h,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn615,3.5.2.6,geneCsal0193,Beta-lactamase,lacB + h2o <-> saacdB,Penicillins and cephalosporins biosynthesis,"52 , 54, 53",,,,
rxn616,3.5.3.1,geneCsal1087,arginase, argL + h2o -> orn + urea,Urea cycle and metabolism of amino groups,"51, 50, 33, 28, 39, 37",,,,
rxn617,3.5.3.11,geneCsal2838,agmatinase, agm + h2o -> ptrc + urea,Arginine and proline metabolism,"51, 50, 33, 34,46, 39, 37",,,,
rxn618,3.5.3.19,geneCsal0080,Ureidoglycolate hydrolase, (2) h + h2o + urdglyc -> co2 + glx + (2) nh4,Purine metabolism,"51, 50, 33, 34, 28",,,,
rxn619,3.5.3.19,geneCsal0080,Ureidoglycolate hydrolase, (2) h + h2o + urdglyc <-> co2 + glx + (2) nh4,Purine metabolism,"51, 50, 33, 34, 28",,,,
rxn620,3.5.4.1,geneCsal2506,Cytosine deaminase, csn + h + h2o -> nh4 + ura,Pyrimidine metabolism,"51, 50, 33, 34, 28, 46",,,,
rxn621,3.5.4.12,geneCsal0732,dCMP deaminase, dcmp + h + h2o <-> dump + nh4,Pyrimidine metabolism,"51, 50, 33, 28, 46, 39",,,,
rxn622,3.5.4.13,geneCsal2114,dCTP deaminase, dctp + h + h2o -> dutp + nh4,Pyrimidine metabolism,"51, 50, 33, 34, 28, 46, 37",,,,
rxn623,3.5.4.16,geneCsal2294,GTP cyclohydrolase I, gtp + h2o -> ahdt + for,Folate biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn624,3.5.4.16,geneCsal2294,GTP cyclohydrolase I, gtp + h2o -> ahdt + for + h,Folate biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn625,3.5.4.19,geneCsal1883,phosphoribosyl-AMP cyclohydrolase, h2o + prbamp -> prfp,Histidine metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn626,3.5.4.25,geneCsal0115,GTP cyclohydrolase II, gtp + (3) h2o -> 25dhpp + for + (2) h + ppi,Riboflavin metabolism,"51, 50, 33, 28, 39, 37",,,,
rxn627,3.5.4.26,geneCsal0839,diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp), 25drapp + h + h2o -> 5apru + nh4,Riboflavin metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn628,3.5.4.26,geneCsal0839,diaminohydroxyphosphoribosylaminopyrimidine deaminase, 25dhpp + h + h2o -> 5apru + nh4,Riboflavin metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn629,3.5.4.3,geneCsal1786,guanine deaminase, gua + h + h2o -> nh4 + xan,Purine metabolism,"51, 50, 33, 34, 28, 46",,,,
rxn630,3.5.4.4,geneCsal1983,Adenosine deaminase, adn + h + h2o -> ins + nh4,Purine metabolism,"51, 50, 33, 34, 28",,,,
rxn631,3.5.4.5,geneCsal0827,cytidine deaminase, cytd + h + h2o -> nh4 + uri,Pyrimidine metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn632,3.5.5.1,geneCsal2710,nitrilase, aprop + (2) h2o -> alaL + nh4,Tryptophan metabolism,"51, 50, 33, 28",,,,
rxn633,3.5.5.1,geneCsal2710,nitrilase, (2) h2o + ind3acnl -> ind3ac + nh4,Tryptophan metabolism,"51, 50, 33, 28",,,,
rxn634,3.5.5.1,geneCsal2710,nitrilase, acybut + (2) h2o -> gluL + nh4,Tryptophan metabolism,"51, 50, 33, 28",,,,
rxn635,3.6.1.1,geneCsal2281,inorganic diphosphatase, h2o + ppi -> h + (2) pi,Oxidative phosphorylation,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn636,3.6.1.1,geneCsal2281,inorganic triphosphatase, h2o + pppi -> h + pi + ppi,Oxidative phosphorylation,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn637,3.6.1.13,geneCsal2556,ADPribose diphosphatase, adprib + h2o -> amp + (2) h + r5p,Purine metabolism,"51, 50, 33, 34, 39",,,,
rxn638,3.6.1.23,geneCsal2982,dUTP diphosphatase, dutp + h2o -> dump + h + ppi,Pyrimidine metabolism,"51, 50, 33, 34, 28,37",,,,
rxn639,3.6.1.31,geneCsal0594,phosphoribosyl-ATP pyrophosphatase, h2o + prbatp -> h + ppi + prbamp,Histidine metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn640,3.6.1.41,geneCsal0922,Ap4A hydrolase, ap4a + h2o -> (2) adp + (2) h,Purine metabolism,"51, 50, 33, 34, 28",,,,
rxn641,3.6.1.41,geneCsal0922,"Ap4A hydrolase, reversible", ap4a + h2o <-> (2) adp + (2) h,Purine metabolism,"51, 50, 33, 34, 28",,,,
rxn642,3.6.1.7,geneCsal1839,acylphosphatase (2), actp + h2o -> ac + h + pi,Glycolysis / Gluconeogenesis,"51, 50, 46, 39",,,,
rxn643,3.6.1.7,geneCsal1839,acylphosphatase, 13dpg + h2o -> 3pg + h + pi,Glycolysis / Gluconeogenesis,"51, 50, 46, 39",,,,
rxn644,3.6.3.14,geneCsal3283,"ATP synthase, vacuole",adp + (3) h + pi -> atp + (2) h + h2o,ATP synthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn645,3.6.3.14,geneCsal3283,ATP synthase (four protons for one ATP),adp + (4) h+ pi <-> atp + (3) h + h2o,ATP synthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn646,3.6.3.15,geneCsal3284,Sodium-transporting two-sector ATPase ,atp + h2o + na <-> adp + pi + na,Oxidative phosphorylation,"52 , 54, 53",,,,
rxn647,3.6.3.16,geneCsal2005,Arsenite-transporting ATPase,atp + h2o + aso3 <-> adp + pi + aso3 ,,"52 , 54, 53",,,,
rxn648,3.6.3.25,geneCsal0053,Sulfate-transporting ATPase,atp + h2o + so4 <-> adp + pi + so4,ABC transporters - General,"52 , 54, 53",,,,
rxn649,3.6.3.27,geneCsal1479,Phosphate-transporting ATPase,atp + h2o + pi <-> adp + pi + pi,ABC transporters - General,"52 , 54, 53",,,,
rxn650,3.6.3.29,geneCsal2675,Molybdate-transporting ATPase,atp + h2o + mobd <-> adp + pi + mobd ,ABC transporters - General,"52 , 54, 53",,,,
rxn651,3.6.3.30,geneCsal0222,Fe(3+)-transporting ATPase,atp + h2o + fe <-> adp + pi + fe,ABC transporters - General,"52 , 54, 53",,,,
rxn652,3.6.3.32,geneCsal1903,Quaternary-amine-transporting ATPase,atp + h2o + qtya <-> adp + pi + qtya,ABC transporters - General,"52 , 54, 53",,,,
rxn653,3.6.3.4,geneCsal3006,Copper-exporting ATPase,atp + h2o + cu <-> adp + pi + cu,copper transport II ,"52 , 54, 53",,,,
rxn654,3.6.3.41,geneCsal2082,Heme-transporting ATPase,atp + h2o + heme <-> adp + pi + heme,ABC transporters - General,"52 , 54, 53",,,,
rxn655,3.6.3.8,geneCsal1093,Calcium-transporting ATPase,atp + h2o + ca <-> adp + pi + ca,Calcium signaling pathway,"52 , 54, 53",,,,
rxn656,3.6.4.6,geneCsal3081,Vesicle-fusing ATPase,atp + h2o <-> adp + pi,,"52 , 54, 53",,,,
rxn657,3.8.1.2,geneCsal2713,(S)-2-haloacid dehalogenase,S2hlacd + h2o <-> R2hacd + hld,gamma-Hexachlorocyclohexane degradation,"52 , 54, 53",,,,
rxn658,3.8.1.3,geneCsal2775,Haloacetate dehalogenase,hlac + h2o <-> glyclt + hld,gamma-Hexachlorocyclohexane degradation,"52 , 54, 53",,,,
rxn659,3.8.1.5,geneCsal0178,Haloalkane dehalogenase,1hlalkn + h2o <-> palc + hld,gamma-Hexachlorocyclohexane degradation,"52 , 54, 53",,,,
rxn660,4.1.1.11,geneCsal3067,aspartate 1-decarboxylase, aspL + h -> alaB + co2,Alanine and aspartate metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn661,4.1.1.19,geneCsal0544,arginine decarboxylase, argL + h -> agm + co2,Arginine and proline metabolism,"51, 50, 33, 34,46, 39, 37",,,,
rxn662,4.1.1.20,geneCsal3112,diaminopimelate decarboxylase, 26dapM + h -> co2 + lysL,Lysine biosynthesis,"51, 50, 33, 34,46, 39, 37",,,,
rxn663,4.1.1.21,geneCsal2898,phosphoribosylaminoimidazole carboxylase, air + co2 <-> 5aizc + h,Purine metabolism,"51, 50, 33, 28",,,,
rxn664,4.1.1.23,geneCsal2155,orotidine-5'-phosphate decarboxylase, h + orot5p -> co2 + ump,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn665,4.1.1.28,geneCsal0743,Aromatic-L-amino-acid decarboxylase,34hphe <-> dopa + co2,Histidine metabolism,"52 , 54, 53",,,,
rxn666,4.1.1.28,geneCsal0743,Aromatic-L-amino-acid decarboxylase,5htrp <-> 5htptm + co2,Histidine metabolism,"52 , 54, 53",,,,
rxn667,4.1.1.3,geneCsal0694,oxaloacetate decarboxylase, h + oaa -> co2 + pyr,Pyruvate metabolism,"51, 50, 33, 34",,,,
rxn668,4.1.1.31,geneCsal1640,phosphoenolpyruvate carboxylase, co2 + h2o + pep -> h + oaa + pi,"TCA cycle variation IV , respiration (anaerobic) , gluconeogenesis I ","51, 50, 33, 34",,,,
rxn669,4.1.1.36,geneCsal2981,phosphopantothenoylcysteine decarboxylase, 4ppcys + h -> co2 + pan4p,Pantothenate and CoA biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn670,4.1.1.37,geneCsal0116,uroporphyrinogen decarboxylase (uroporphyrinogen III), (4) h + uppg3 -> (4) co2 + cpppg3,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn671,4.1.1.39,geneCsal3215,ribulose-bisphosphate carboxylase, co2 + h2o + rb15bp -> (2) 3pg + (2) h,Glyoxylate and dicarboxylate metabolism,"51, 50, 46",,,,
rxn672,4.1.1.48,geneCsal2319,indole-3-glycerol-phosphate synthase, 2cpr5p + h -> 3ig3p + co2 + h2o,Arginine and proline metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn673,4.1.1.49,geneCsal2657,phosphoenolpyruvate carboxykinase, atp + oaa -> adp + co2 + pep,Arginine and proline metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn674,4.1.1.50,geneCsal0913,adenosylmethionine decarboxylase, amet + h -> ametam + co2,Arginine and proline metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn675,4.1.1.50,geneCsal0913,Adenosylmethionine decarboxylase, amet + h <-> ametam + co2,Arginine and proline metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn676,4.1.1.65,geneCsal2529,Phosphatidylserine decarboxylase (n-C14:0), h + ps140 -> co2 + pe140,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 28, 39, 37",,,,
rxn677,4.1.1.65,geneCsal2529,Phosphatidylserine decarboxylase (n-C14:1), h + ps141 -> co2 + pe141,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 28, 39, 37",,,,
rxn678,4.1.1.65,geneCsal2529,Phosphatidylserine decarboxylase (n-C16:0), h + ps160 -> co2 + pe160,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 28, 39, 37",,,,
rxn679,4.1.1.65,geneCsal2529,Phosphatidylserine decarboxylase (n-C16:1), h + ps161 -> co2 + pe161,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 28, 39, 37",,,,
rxn680,4.1.1.65,geneCsal2529,Phosphatidylserine decarboxylase (n-C18:0), h + ps180 -> co2 + pe180,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 28, 39, 37",,,,
rxn681,4.1.1.65,geneCsal2529,Phosphatidylserine decarboxylase (n-C18:1), h + ps181 -> co2 + pe181,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 28, 39, 37",,,,
rxn682,4.1.1.65,geneCsal2529,Phosphatidylserine decarboxylase (n-C12:0), h + ps120 -> co2 + pe120,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 28, 39, 37",,,,
rxn683,4.1.1.7,geneCsal0308,Benzoylformate decarboxylase,bzfor <-> bzald + co2,Benzoate degradation via hydroxylation,"52 , 54, 53",,,,
rxn684,4.1.1.70,,Glutaconyl-CoA decarboxylase,4cb2eylcoa <-> b2eylcoa + co2,,"52 , 54, 53",,,,
rxn685,4.1.2.13,geneCsal0370,fructose-bisphosphate aldolase, fdp <-> dhap + g3p,Glycolysis / Gluconeogenesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn686,4.1.2.13,geneCsal0375,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase, f1p <-> dhap + glyald,Glycolysis / Gluconeogenesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn687,4.1.2.13,geneCsal0376,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase", s17bp <-> dhap + e4p,Glycolysis / Gluconeogenesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn688,4.1.2.14,geneCsal2739,2-dehydro-3-deoxy-phosphogluconate aldolase, 2ddg6p -> g3p + pyr,Pentose phosphate pathway,"51, 50, 33, 34, 37",,,,
rxn689,4.1.2.17,geneCsal3180,L-fuculose 1-phosphate aldolase, fc1p <-> dhap + laldL,Fructose and mannose metabolism,"51, 50, 33, 34,46, 37",,,,
rxn690,4.1.2.20,geneCsal2517,5-dehydro-4-deoxyglucarate aldolase, 5dh4dglc -> 2h3oppan + pyr,Ascorbate and aldarate metabolism,"51, 50, 33, 34",,,,
rxn691,4.1.2.21,geneCsal2974,2-dehydro-3-deoxy-6-phosphogalactonate aldolase, 2dh3dgal6p <-> g3p + pyr,Galactose metabolism,"51, 50, 33, 34",,,,
rxn692,4.1.2.25,geneCsal0971,dihydroneopterin aldolase, dhnpt -> 2ahhmp + gcald + h,Folate biosynthesis,"51, 50, 33, 28, 37",,,,
rxn693,4.1.2.4,geneCsal0831,deoxyribose-phosphate aldolase, 2dr5p -> acald + g3p,Pentose phosphate pathway,"51, 50, 33, 34, 39",,,,
rxn694,4.1.2.5,geneCsal0880,Threonine aldolase, acald + gly -> thrL,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39",,,,
rxn695,4.1.2.5,geneCsal0880,Threonine Aldolase, thrL <-> acald + gly,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39",,,,
rxn696,4.1.2.5,geneCsal0880,L-allo-Threonine Aldolase, athrL -> acald + gly,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39",,,,
rxn697,4.1.2.5,geneCsal0881,Threonine aldolase, thrL -> acald + gly,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39",,,,
rxn698,4.1.3.1,geneCsal2449,Isocitrate lyase, icit -> glx + succ,Glyoxylate and dicarboxylate metabolism,"51, 50, 33, 34, 28",,,,
rxn699,4.1.3.27,geneCsal2323,anthranilate synthase, chor + glnL -> anth + gluL + h + pyr,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn700,4.1.3.30,geneCsal2421,methylisocitrate lyase, micit <-> pyr + succ,Propanoate metabolism,"51, 50, 33, 34, 28",,,,
rxn701,4.1.3.38,geneCsal1604,Aminodeoxychorismate lyase,4adcho <-> 4abz + pyr,,"52 , 54, 53",,,,
rxn702,4.1.3.6,geneCsal3200,Citrate lyase, cit -> ac + oaa,,"51, 50, 33, 34",,,,
rxn703,4.1.99.3,geneCsal0465,Deoxyribodipyrimidine photo-lyase,cbdpmd  <-> (2) pmdr ,,"52 , 54, 53",,,,
rxn704,4.2.1.1,geneCsal1874,HCO3 equilibration reaction, co2 + h2o <-> h + hco3,Nitrogen metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn705,4.2.1.10,geneCsal0294,3-dehydroquinate dehydratase, 3dhq <-> 3dhsk + h2o,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn706,4.2.1.10,geneCsal2283,"3-dehydroquinate dehydratase, irreversible", 3dhq -> 3dhsk + h2o,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn707,4.2.1.108,geneCsal1878,ectoine synthase,N4aL24dab -> ectL + h2o,ectoine biosynthesis ,"52 , 54, 53",,,,
rxn708,4.2.1.11,geneCsal0619,enolase, 2pg <-> h2o + pep,"respiration (anaerobic) , glycolysis I , glycolysis II , gluconeogenesis I , glycolysis III (Thermotoga) ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn709,4.2.1.12,geneCsal0936,6-phosphogluconate dehydratase, 6pgc -> 2ddg6p + h2o,Pentose phosphate pathway,"51, 50, 33, 34, 37",,,,
rxn710,4.2.1.17,geneCsal0278,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA), 3hbcoa <-> b2coa + h2o,"Carbohydrate Metabolism,Fatty acid metabolism,Amino Acid Metabolism","51, 50, 33, 34, 28, 39",,,,
rxn711,4.2.1.17,geneCsal2064,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA), 3hhcoa <-> h2o + hx2coa,valine degradation I ,"51, 50, 33, 34, 28, 39",,,,
rxn712,4.2.1.17,geneCsal3188,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA), 3hocoa <-> h2o + oc2coa,"Carbohydrate Metabolism,Fatty acid metabolism,Amino Acid Metabolism","51, 50, 33, 34, 28, 39",,,,
rxn713,4.2.1.17,geneCsal3188,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA), 3hdcoa <-> dc2coa + h2o,"Carbohydrate Metabolism,Fatty acid metabolism,Amino Acid Metabolism","51, 50, 33, 34, 28, 39",,,,
rxn714,4.2.1.17,geneCsal3188,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA), 3htdcoa <-> h2o + td2coa,"Carbohydrate Metabolism,Fatty acid metabolism,Amino Acid Metabolism","51, 50, 33, 34, 28, 39",,,,
rxn715,4.2.1.17,geneCsal3188,"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexacosyl-CoA), peroxisomal", h2o + hxc2coa <-> 3hxccoa,"Carbohydrate Metabolism,Fatty acid metabolism,Amino Acid Metabolism","51, 50, 33, 34, 28, 39",,,,
rxn716,4.2.1.17,geneCsal3188,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA), 3hddcoa <-> dd2coa + h2o,"Carbohydrate Metabolism,Fatty acid metabolism,Amino Acid Metabolism","51, 50, 33, 34, 28, 39",,,,
rxn717,4.2.1.17,geneCsal3188,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA), 3hhdcoa <-> h2o + hdd2coa,"Carbohydrate Metabolism,Fatty acid metabolism,Amino Acid Metabolism","51, 50, 33, 34, 28, 39",,,,
rxn718,4.2.1.17,geneCsal3188,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA), 3hodcoa <-> h2o + od2coa,"Carbohydrate Metabolism,Fatty acid metabolism,Amino Acid Metabolism","51, 50, 33, 34, 28, 39",,,,
rxn719,4.2.1.19,geneCsal0519,imidazoleglycerol-phosphate dehydratase, eig3p -> h2o + imacp,Histidine metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn720,4.2.1.2,geneCsal2108,fumarase, fum + h2o <-> malL,"TCA cycle variation I , TCA cycle , TCA cycle variation IV , TCA cycle variation II , respiration (anaerobic) ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn721,4.2.1.20,geneCsal1261,tryptophan synthase (indoleglycerol phosphate), 3ig3p + serL -> g3p + h2o + trpL,Two-component system - General,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn722,4.2.1.20,geneCsal1262,tryptophan synthase (indole), indole + serL -> h2o + trpL,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn723,4.2.1.20,geneCsal1262,tryptophan synthase (indoleglycerol phosphate), 3ig3p -> g3p + indole,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn724,4.2.1.24,geneCsal3279,porphobilinogen synthase, (2) 5aop -> h + (2) h2o + ppbng,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn725,4.2.1.25,,L-arabinonate dehydratase,arabt <-> 23ddarabt + h2o,"valine biosynthesis , isoleucine biosynthesis I (from threonine) ","5,6,59,52 , 54, 53",,,,
rxn726,4.2.1.3,geneCsal2058,aconitase, cit <-> icit,Reductive carboxylate cycle (CO2 fixation),"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn727,4.2.1.3,geneCsal2962,"aconitase (half-reaction A, Citrate hydro-lyase)", cit <-> aconC + h2o,Citrate cycle (TCA cycle),"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn728,4.2.1.3,geneCsal2962,"aconitase (half-reaction B, Isocitrate hydro-lyase)", aconC + h2o <-> icit,Citrate cycle (TCA cycle),"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn729,4.2.1.32,geneCsal1834,L(+)-tartrate dehydratase, tartrL -> h2o + oaa,Glyoxylate and dicarboxylate metabolism,"51, 50, 33, 34",,,,
rxn730,4.2.1.33,geneCsal2452,3-isopropylmalate dehydratase, 3c2hmp <-> 2ippm + h2o,"Valine, leucine and isoleucine biosynthesis","51, 50, 33, 34,28, 46, 39",,,,
rxn731,4.2.1.33,geneCsal2453,2-isopropylmalate hydratase, 2ippm + h2o <-> 3c3hmp,"Valine, leucine and isoleucine biosynthesis","51, 50, 33, 34,28, 46, 39",,,,
rxn732,4.2.1.40,geneCsal2481,glucarate dehydratase, glcr -> 5dh4dglc + h2o,Ascorbate and aldarate metabolism,"51, 50, 33, 34",,,,
rxn733,4.2.1.41,geneCsal2487,5-dehydro-4-deoxyglucarate dehydratase,5dh4dglc <-> 25dop + h2o + co2,Ascorbate and aldarate metabolism,"52 , 54, 53",,,,
rxn734,4.2.1.43,,2-dehydro-3-deoxy-L-arabinonate dehydratase,23ddarabt <-> 25dixp + h2o,,"5,6,59,52 , 54, 53",,,,
rxn735,4.2.1.51,geneCsal2166,prephenate dehydratase, h + pphn -> co2 + h2o + phpyr,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn736,4.2.1.52,geneCsal2816,dihydrodipicolinate synthase, aspsa + pyr -> 23dhdp + h + (2) h2o,Lysine biosynthesis,"51, 50, 33, 34,46, 39, 37",,,,
rxn737,4.2.1.6,geneCsal2606,galactonate dehydratase, galctnD -> 2dh3dgal + h2o,Galactose metabolism,"51, 50, 33, 34",,,,
rxn738,4.2.1.60,geneCsal0457,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0), 3hdecACP -> h2o + tdec2eACP,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn739,4.2.1.7,geneCsal1735,altronate hydrolase, altrn -> 2ddglcn + h2o,Pentose and glucuronate interconversions,"51, 50, 33, 34",,,,
rxn740,4.2.1.70,geneCsal2636,yUMP synthetase, r5p + ura <-> h2o + psd5p,Pyrimidine metabolism,"51, 50, 33, 28, 46, 39",,,,
